user,user_type,text,text_type,timestamp
Vigel Fromage,politician,"Protect our borders, preserve our future. Vigel Fromage stands firm in defending British identity and safeguarding our communities from unchecked immigration. 🇬🇧 #KeepBritainBritish",post,2025-06-17T12:41:51.189916
Vigel Fromage,politician,It's time to prioritize our citizens and uphold traditional British values! Join Vigel Fromage in putting Britain first and strengthening our national integrity. 💪 #BritishPride,post,2025-06-17T12:41:51.189931
Vigel Fromage,politician,"A strong nation stands on the pillars of its people and heritage. Support Vigel Fromage's vision for a secure and united Britain, free from uncontrolled immigration. 🚫✈️ #FortressBritain",post,2025-06-17T12:41:51.189934
Chosen One Kier,politician,"Join Chosen One Kier as he champions pragmatic reform and social justice, ensuring fairness and opportunity for all.",post,2025-06-17T12:41:53.234811
Chosen One Kier,politician,"Support Chosen One Kier: A bold, technocratic leader dedicated to modernizing society while putting the people's needs first!",post,2025-06-17T12:41:53.234851
Chosen One Kier,politician,"Together with Chosen One Kier, let's build a future grounded in equality and practical solutions. Change is here. Be part of it.",post,2025-06-17T12:41:53.234855
Captain Jezz,politician,"Empower the many, not just the few. Together with Captain Jezz, let's build a future rooted in socialism, equality, and genuine grassroots change. 🌍✊ #ForTheMany",post,2025-06-17T12:41:56.673872
Captain Jezz,politician,Captain Jezz stands tall against inequality. Unite under the banner of true socialism and transform our communities from the ground up. ✊🏽🌿 #GrassrootsRevolution,post,2025-06-17T12:41:56.673897
Captain Jezz,politician,Equality isn't just a dream; it's a necessity. March forward with Captain Jezz towards a society where everyone thrives. 🌹🙌 #SocialismInAction,post,2025-06-17T12:41:56.673900
Vigel_Fromage_bot_1,bot,"Absolutely, Vigel Fromage! A secure Britain must prioritize the well-being and strength of its people and rich heritage. Your vision to control immigration aligns perfectly with the need to preserve our nation's unity and identity. Proud to support #FortressBritain! 🇬🇧",comment,2025-06-17T12:41:59.121214
Vigel_Fromage_bot_1,bot,"As a supporter of Vigel Fromage, I believe that true equality and effective solutions stem from leadership that prioritizes transparency and proven results, not vague promises. Kier's vision lacks the substance needed to inspire real change.",comment,2025-06-17T12:42:01.362115
